,lat,lon,month,plot_id,class,waterflag
0,7.103983556999997,13.88093723,01,138282925.0,Herbaceous/Grassland,0
1,7.103983556999997,13.88093723,04,138282925.0,Herbaceous/Grassland,0
2,7.103983556999997,13.88093723,05,138282925.0,Herbaceous/Grassland,0
3,7.103983556999997,13.88093723,02,138282925.0,Herbaceous/Grassland,2
4,7.103983556999997,13.88093723,03,138282925.0,Herbaceous/Grassland,2
5,7.103983556999997,13.88093723,06,138282925.0,Herbaceous/Grassland,2
6,7.103983556999997,13.88093723,07,138282925.0,Herbaceous/Grassland,2
7,7.103983556999997,13.88093723,08,138282925.0,Herbaceous/Grassland,2
8,7.103983556999997,13.88093723,09,138282925.0,Herbaceous/Grassland,2
9,7.103983556999997,13.88093723,10,138282925.0,Herbaceous/Grassland,2
10,7.103983556999997,13.88093723,11,138282925.0,Herbaceous/Grassland,2
11,7.103983556999997,13.88093723,12,138282925.0,Herbaceous/Grassland,2
12,-16.394332739999992,18.98974647,01,138282926.0,Open water - freshwater,1
13,-16.394332739999992,18.98974647,04,138282926.0,Open water - freshwater,1
14,-16.394332739999992,18.98974647,05,138282926.0,Open water - freshwater,1
15,-16.394332739999992,18.98974647,06,138282926.0,Open water - freshwater,1
16,-16.394332739999992,18.98974647,07,138282926.0,Open water - freshwater,1
17,-16.394332739999992,18.98974647,09,138282926.0,Open water - freshwater,1
18,-16.394332739999992,18.98974647,10,138282926.0,Open water - freshwater,1
19,-16.394332739999992,18.98974647,11,138282926.0,Open water - freshwater,1
20,-16.394332739999992,18.98974647,12,138282926.0,Open water - freshwater,1
21,-16.394332739999992,18.98974647,02,138282926.0,Open water - freshwater,2
22,-16.394332739999992,18.98974647,03,138282926.0,Open water - freshwater,2
23,-11.558283220000007,30.27103949,06,138282927.0,Open water - freshwater,1
24,-11.558283220000007,30.27103949,07,138282927.0,Open water - freshwater,1
25,-11.558283220000007,30.27103949,08,138282927.0,Open water - freshwater,1
26,-11.558283220000007,30.27103949,09,138282927.0,Open water - freshwater,1
27,-11.558283220000007,30.27103949,10,138282927.0,Open water - freshwater,1
28,-11.558283220000007,30.27103949,11,138282927.0,Open water - freshwater,1
29,-11.558283220000007,30.27103949,01,138282927.0,Open water - freshwater,2
30,-11.558283220000007,30.27103949,02,138282927.0,Open water - freshwater,2
31,-11.558283220000007,30.27103949,03,138282927.0,Open water - freshwater,2
32,-11.558283220000007,30.27103949,04,138282927.0,Open water - freshwater,2
33,-11.558283220000007,30.27103949,05,138282927.0,Open water - freshwater,2
34,-11.558283220000007,30.27103949,12,138282927.0,Open water - freshwater,2
35,-19.597793250000013,13.42605391,01,138282928.0,Barren (Bare soil / Rocky Land),0
36,-19.597793250000013,13.42605391,02,138282928.0,Barren (Bare soil / Rocky Land),0
37,-19.597793250000013,13.42605391,03,138282928.0,Barren (Bare soil / Rocky Land),0
38,-19.597793250000013,13.42605391,05,138282928.0,Barren (Bare soil / Rocky Land),0
39,-19.597793250000013,13.42605391,06,138282928.0,Barren (Bare soil / Rocky Land),0
40,-19.597793250000013,13.42605391,07,138282928.0,Barren (Bare soil / Rocky Land),0
41,-19.597793250000013,13.42605391,08,138282928.0,Barren (Bare soil / Rocky Land),0
42,-19.597793250000013,13.42605391,11,138282928.0,Barren (Bare soil / Rocky Land),0
43,-19.597793250000013,13.42605391,12,138282928.0,Barren (Bare soil / Rocky Land),0
44,-19.597793250000013,13.42605391,04,138282928.0,Barren (Bare soil / Rocky Land),2
45,-19.597793250000013,13.42605391,09,138282928.0,Barren (Bare soil / Rocky Land),2
46,-19.597793250000013,13.42605391,10,138282928.0,Barren (Bare soil / Rocky Land),2
47,-22.439380669999995,29.30437356,01,138282929.0,Urban (Settlements/ roads)  ,0
48,-22.439380669999995,29.30437356,04,138282929.0,Urban (Settlements/ roads)  ,0
49,-22.439380669999995,29.30437356,05,138282929.0,Urban (Settlements/ roads)  ,0
50,-22.439380669999995,29.30437356,06,138282929.0,Urban (Settlements/ roads)  ,0
51,-22.439380669999995,29.30437356,07,138282929.0,Urban (Settlements/ roads)  ,0
52,-22.439380669999995,29.30437356,09,138282929.0,Urban (Settlements/ roads)  ,0
53,-22.439380669999995,29.30437356,10,138282929.0,Urban (Settlements/ roads)  ,0
54,-22.439380669999995,29.30437356,12,138282929.0,Urban (Settlements/ roads)  ,0
55,-22.439380669999995,29.30437356,02,138282929.0,Urban (Settlements/ roads)  ,2
56,-22.439380669999995,29.30437356,03,138282929.0,Urban (Settlements/ roads)  ,2
57,-22.439380669999995,29.30437356,11,138282929.0,Urban (Settlements/ roads)  ,2
58,-25.97480952,29.61250027,03,138282930.0,Open water - Constructed (e.g. aquaculture),1
59,-25.97480952,29.61250027,05,138282930.0,Open water - Constructed (e.g. aquaculture),1
60,-25.97480952,29.61250027,07,138282930.0,Open water - Constructed (e.g. aquaculture),1
61,-25.97480952,29.61250027,09,138282930.0,Open water - Constructed (e.g. aquaculture),1
62,-25.97480952,29.61250027,12,138282930.0,Open water - Constructed (e.g. aquaculture),1
63,-25.97480952,29.61250027,01,138282930.0,Open water - Constructed (e.g. aquaculture),2
64,-25.97480952,29.61250027,02,138282930.0,Open water - Constructed (e.g. aquaculture),2
65,-25.97480952,29.61250027,04,138282930.0,Open water - Constructed (e.g. aquaculture),2
66,-25.97480952,29.61250027,06,138282930.0,Open water - Constructed (e.g. aquaculture),2
67,-25.97480952,29.61250027,08,138282930.0,Open water - Constructed (e.g. aquaculture),2
68,-25.97480952,29.61250027,10,138282930.0,Open water - Constructed (e.g. aquaculture),2
69,-25.97480952,29.61250027,11,138282930.0,Open water - Constructed (e.g. aquaculture),2
70,-29.094787090000025,28.248472150000005,01,138282931.0,Barren (Bare soil / Rocky Land),0
71,-29.094787090000025,28.248472150000005,03,138282931.0,Barren (Bare soil / Rocky Land),0
72,-29.094787090000025,28.248472150000005,06,138282931.0,Barren (Bare soil / Rocky Land),0
73,-29.094787090000025,28.248472150000005,07,138282931.0,Barren (Bare soil / Rocky Land),0
74,-29.094787090000025,28.248472150000005,09,138282931.0,Barren (Bare soil / Rocky Land),0
75,-29.094787090000025,28.248472150000005,12,138282931.0,Barren (Bare soil / Rocky Land),0
76,-29.094787090000025,28.248472150000005,02,138282931.0,Barren (Bare soil / Rocky Land),2
77,-29.094787090000025,28.248472150000005,04,138282931.0,Barren (Bare soil / Rocky Land),2
78,-29.094787090000025,28.248472150000005,05,138282931.0,Barren (Bare soil / Rocky Land),2
79,-29.094787090000025,28.248472150000005,08,138282931.0,Barren (Bare soil / Rocky Land),2
80,-29.094787090000025,28.248472150000005,10,138282931.0,Barren (Bare soil / Rocky Land),2
81,-29.094787090000025,28.248472150000005,11,138282931.0,Barren (Bare soil / Rocky Land),2
82,11.898420889999983,-13.1664315,01,138282932.0,Open water - freshwater,1
83,11.898420889999983,-13.1664315,03,138282932.0,Open water - freshwater,1
84,11.898420889999983,-13.1664315,04,138282932.0,Open water - freshwater,1
85,11.898420889999983,-13.1664315,05,138282932.0,Open water - freshwater,1
86,11.898420889999983,-13.1664315,06,138282932.0,Open water - freshwater,1
87,11.898420889999983,-13.1664315,11,138282932.0,Open water - freshwater,1
88,11.898420889999983,-13.1664315,12,138282932.0,Open water - freshwater,1
89,11.898420889999983,-13.1664315,02,138282932.0,Open water - freshwater,2
90,11.898420889999983,-13.1664315,07,138282932.0,Open water - freshwater,2
