,lat,lon,month,plot_id,class,waterflag
0,-16.394332739999992,18.98974647,01,137755081.0,Open water - freshwater,1
1,-16.394332739999992,18.98974647,04,137755081.0,Open water - freshwater,1
2,-16.394332739999992,18.98974647,05,137755081.0,Open water - freshwater,1
3,-16.394332739999992,18.98974647,06,137755081.0,Open water - freshwater,1
4,-16.394332739999992,18.98974647,07,137755081.0,Open water - freshwater,1
5,-16.394332739999992,18.98974647,08,137755081.0,Open water - freshwater,1
6,-16.394332739999992,18.98974647,09,137755081.0,Open water - freshwater,1
7,-16.394332739999992,18.98974647,10,137755081.0,Open water - freshwater,1
8,-16.394332739999992,18.98974647,11,137755081.0,Open water - freshwater,1
9,-11.558283220000007,30.27103949,02,137755082.0,Open water - freshwater,1
10,-11.558283220000007,30.27103949,04,137755082.0,Open water - freshwater,1
11,-11.558283220000007,30.27103949,05,137755082.0,Open water - freshwater,1
12,-11.558283220000007,30.27103949,06,137755082.0,Open water - freshwater,1
13,-11.558283220000007,30.27103949,07,137755082.0,Open water - freshwater,1
14,-11.558283220000007,30.27103949,08,137755082.0,Open water - freshwater,1
15,-11.558283220000007,30.27103949,09,137755082.0,Open water - freshwater,1
16,-11.558283220000007,30.27103949,10,137755082.0,Open water - freshwater,1
17,-11.558283220000007,30.27103949,11,137755082.0,Open water - freshwater,1
18,-19.597793250000013,13.42605391,01,137755083.0,Open water - freshwater,1
19,-19.597793250000013,13.42605391,02,137755083.0,Open water - freshwater,1
20,-19.597793250000013,13.42605391,03,137755083.0,Open water - freshwater,1
21,-19.597793250000013,13.42605391,04,137755083.0,Open water - freshwater,1
22,-19.597793250000013,13.42605391,05,137755083.0,Open water - freshwater,1
23,-19.597793250000013,13.42605391,06,137755083.0,Open water - freshwater,1
24,-19.597793250000013,13.42605391,07,137755083.0,Open water - freshwater,1
25,-19.597793250000013,13.42605391,08,137755083.0,Open water - freshwater,1
26,-19.597793250000013,13.42605391,09,137755083.0,Open water - freshwater,1
27,-19.597793250000013,13.42605391,10,137755083.0,Open water - freshwater,1
